Column1,Column4,Column5
UNKNOWN,45.995019,-83.898336
UNKNOWN,46.388222,-84.21925
UNKNOWN,46.471131,-84.299758
UNKNOWN,46.484186,-84.292675
UNKNOWN,46.489186,-84.285033
UNKNOWN,43.925014,-83.461633
UNKNOWN,43.955014,-83.487469
UNKNOWN,44.016683,-83.649978
UNKNOWN,46.387742,-84.220058
UNKNOWN,46.432217,-84.579175
NELLIE GARDNER,44.896764,-83.3275
MONOHANSETT,45.033717,-83.200822
MONTANA,44.984083,-83.267389
UNKNOWN,45.062361,-83.392889
